OriginalMetadataColumnName,BITColumnName,Include (Yes/No) - Interest,Type
SAMPID,SampleID,Yes,Sample charactertics
SMRIN,RIN,Yes,Sequencing metrics
SMTSISCH,PMI,Yes,Sequencing metrics
AGE,AgeInterval,Yes,Phenotype
SEX,Sex,Yes,Phenotype
SMATSSCR,AutolysisScore,Yes,Sample charactertics
SMNABTCH,SequencingBatch,Yes,Sample charactertics
SMNABTCHT,TypeofBatch,Yes,Sample charactertics
SMNABTCHD,DateofBatch,Yes,Sample charactertics
SMGEBTCH,Genotype_or_Expression_Batch_ID,Yes,Sample charactertics
SMGEBTCHD,DateofGenotypeorExpressionBatch,Yes,Sample charactertics
SMGEBTCHT,TypeofGenotypeorExpressionBatch,Yes,Sample charactertics
SMCENTER,BSS_Collection_side_code,Yes,Sample charactertics
SMTS,Regions,Yes,Sample charactertics
SMTSD,StructureAcronym,Yes,Sample charactertics
SMTSPAX,Time_spent_in_PAXgene_fixative,Yes,Sequencing metrics
SME2MPRT,End_2_mapping_rate,Yes,Sequencing metrics
SMCHMPRS,ChimericPairs,Yes,Sequencing metrics
SMNTRART,IntragenicRate,Yes,Sequencing metrics
SMNUMGPS,No_of_Gaps,No,Sequencing metrics
SMMAPRT,MappingRate,Yes,Sequencing metrics
SMEXNCRT,ExonicRate,Yes,Sequencing metrics
SM550NRM,BasedNormalised,No,Sequencing metrics
SMGNSDTC,GenesDetected,Yes,Sequencing metrics
SMUNMPRT,UniqueRate_mapped,No,Sequencing metrics
SM350NRM,BaseNormilization,No,Sequencing metrics
SMESTLBS,LibrarySize,Yes,Sequencing metrics
SMMPPD,ReadsMapped,Yes,Sequencing metrics
SMNTERRT,IntergenicRate,Yes,Sequencing metrics
SMRRNANM,rRNA,Yes,Sequencing metrics
SMRDTTL,TotalNReads,Yes,Sequencing metrics
SMMNCV,Mean_Coeff_Variation,No,Sequencing metrics
SMTRSCPT,TranscriptsDetected,Yes,Sequencing metrics
SMMPPDPR,MappedPairs,Yes,Sequencing metrics
SMUNPDRD,UnpairedReads,Yes,Sequencing metrics
SMNTRNRT,IntronicRate,Yes,Sequencing metrics
SMMPUNRT,MappingRate_unique,Yes,Sequencing metrics
SMEXPEFF,ExpressionProfilingEfficiency,Yes,Sequencing metrics
SMMPPDUN,MappedUnique_no_dup_flags,Yes,Sequencing metrics
SME2MMRT,End_2_Mismatch_Rate,Yes,Sequencing metrics
SME2ANTI,End_2_Antisense,Yes,Sequencing metrics
SME2SNSE,End_Sense_2,Yes,Sequencing metrics
SME1ANTI,End_1_Antisense,Yes,Sequencing metrics
SME1SNSE,End_1_Sense,Yes,Sequencing metrics
SME1PCTS,End_1_Sense_percentage,Yes,Sequencing metrics
SMRRNART,rRNA_ratio,Yes,Sequencing metrics
SME1MPRT,End_1_Mapping_rate,Yes,Sequencing metrics
SMNUM5CD,Num_of_Reads_Covered_5prime,No,Sequencing metrics
SMDPMPRT,DuplicationRateMapped,Yes,Sequencing metrics
SME2PCTS,Percentage_IntragenicEnd_2_Reads,Yes,Sequencing metrics
SUBJID,DonorID,Yes,Phenotype
DTHHRDY,HardyScale,Yes,Phenotype
NA,Period,Yes,Phenotype
NA,Diagnosis,Yes,Phenotype
SMPTHNTS,PathologyNotes,No,Sample charactertics
SMUBRID,UberonID,No,Sequencing metrics
SMAFRZE,Samples_in_analysis_freeze,No,Sequencing metrics
SMGTC,gtc_genotype,No,Sequencing metrics
SMRDLGTH,MaxReadLength,No,Sequencing metrics
SMMNCPB,MeanCoverageperBase,No,Sequencing metrics
SME1MMRT,MismatchRate,No,Sequencing metrics
SMSFLGTH,FragmentLengthStdDev,No,Sequencing metrics
SMVQCFL,Failed_vendor_QC_check,No,Sequencing metrics
SMCGLGTH,CumulativeGapLength,No,Sequencing metrics
SMGAPPCT,Gap_percentage,No,Sequencing metrics
SMALTALG,AlternativeAlignments,No,Sequencing metrics
SMMFLGTH,MeanFragmentLength,No,Sequencing metrics
SMSPLTRD,SplitReads,No,Sequencing metrics
SMBSMMRT,BaseMismatchRate,No,Sequencing metrics
